2025-10-26 00:08:59.519 +03:00 [INF] Serilog initialized
2025-10-26 00:09:00.113 +03:00 [INF] Window loaded-OpenGL context created.
2025-10-26 00:09:01.820 +03:00 [INF] F1 key pressed. Generating curve points.
2025-10-26 00:09:01.838 +03:00 [INF] Generating 100 curve points between bounds 0 and 6.283185307179586.
2025-10-26 00:09:01.838 +03:00 [INF] Delta (dn) calculated as 0.06283185307179587.
2025-10-26 00:09:01.842 +03:00 [DBG] Point 0: u=0, x=0.5, y=0
2025-10-26 00:09:01.842 +03:00 [DBG] Point 1: u=0.06283185307179587, x=0.4990133642141358, y=0.01695344027291461
2025-10-26 00:09:01.842 +03:00 [DBG] Point 2: u=0.12566370614359174, x=0.49605735065723894, y=0.03383997306236215
2025-10-26 00:09:01.842 +03:00 [DBG] Point 3: u=0.1884955592153876, x=0.49114362536434436, y=0.050592954938145654
2025-10-26 00:09:01.842 +03:00 [DBG] Point 4: u=0.25132741228718347, x=0.48429158056431554, y=0.0671462695345108
2025-10-26 00:09:01.843 +03:00 [DBG] Point 5: u=0.3141592653589793, x=0.47552825814757677, y=0.0834345884812358
2025-10-26 00:09:01.843 +03:00 [DBG] Point 6: u=0.3769911184307752, x=0.4648882429441257, y=0.09939362922486306
2025-10-26 00:09:01.843 +03:00 [DBG] Point 7: u=0.4398229715025711, x=0.45241352623300973, y=0.11496040872256964
2025-10-26 00:09:01.843 +03:00 [DBG] Point 8: u=0.5026548245743669, x=0.4381533400219318, y=0.13007349200746315
2025-10-26 00:09:01.843 +03:00 [DBG] Point 9: u=0.5654866776461628, x=0.42216396275100754, y=0.1446732346443291
2025-10-26 00:09:01.843 +03:00 [DBG] Point 10: u=0.6283185307179586, x=0.4045084971874737, y=0.15870201811896775
2025-10-26 00:09:01.843 +03:00 [DBG] Point 11: u=0.6911503837897546, x=0.38525662138789457, y=0.17210447723214625
2025-10-26 00:09:01.843 +03:00 [DBG] Point 12: u=0.7539822368615504, x=0.3644843137107058, y=0.18482771860074595
